[2026-04-09 14:48:26] x=-0.617821, y=0.642939, yaw=0.053283
[2026-04-09 14:49:28] x=-2.123831, y=-0.740131, yaw=0.049372
[2026-04-09 14:51:18] x=18.261837, y=-0.979213, yaw=-2.317752
[2026-04-09 14:51:58] x=18.308317, y=-1.048933, yaw=-1.570796
[2026-04-09 16:21:43] x=18.451266, y=-1.047872, yaw=-0.721655
[2026-04-09 16:22:02] x=18.873253, y=-1.067967, yaw=-1.299849
[2026-04-09 16:23:19] x=18.674347, y=-0.746813, yaw=-2.458774
[2026-04-09 16:24:27] x=19.422676, y=-0.987347, yaw=-0.387384
[2026-04-24 15:34:37] x=5.129914, y=-1.904062, yaw=0.068130
[2026-04-24 15:35:14] x=10.414013, y=-11.212206, yaw=-2.517570
[2026-04-24 15:36:04] x=16.958167, y=-7.228808, yaw=-0.048383
[2026-04-24 15:36:24] x=16.958167, y=-7.594631, yaw=-0.054945
